Feature,VIF
equipment_energy_consumption,inf
zone1_humidity,inf
zone1_temperature,inf
zone3_temperature,inf
zone3_humidity,inf
zone2_temperature,inf
zone2_humidity,inf
zone4_temperature,inf
zone4_humidity,inf
zone5_humidity,inf
zone5_temperature,inf
zone9_temperature,inf
zone9_humidity,inf
zone6_temperature,inf
zone6_humidity,inf
zone7_temperature,inf
zone7_humidity,inf
zone8_temperature,inf
zone8_humidity,inf
outdoor_temperature,inf
zone7_outdoor_temp_diff,inf
zone6_outdoor_temp_diff,inf
zone5_outdoor_temp_diff,inf
zone4_outdoor_temp_diff,inf
zone3_outdoor_temp_diff,inf
zone2_outdoor_temp_diff,inf
energy_rolling_max_24h,inf
energy_rolling_min_6h,inf
energy_rolling_max_6h,inf
energy_rolling_range_6h,inf
energy_rolling_max_12h,inf
energy_rolling_min_12h,inf
energy_rolling_range_24h,inf
energy_rolling_min_24h,inf
energy_rolling_range_12h,inf
avg_zone_temp,inf
min_zone_temp,inf
energy_rolling_max_3h,inf
energy_rolling_min_3h,inf
energy_rolling_mean_3h,inf
energy_rolling_range_3h,inf
energy_lag_1h,inf
energy_lag_2h,inf
atmospheric_pressure_change_1h,inf
avg_zone_temp_change_1h,inf
avg_zone_temp_rate_of_change,inf
outdoor_temperature_change_1h,inf
atmospheric_pressure_rate_of_change,inf
outdoor_temperature_rate_of_change,inf
zone1_outdoor_temp_diff,inf
zone8_outdoor_temp_diff,inf
zone9_outdoor_temp_diff,inf
indoor_outdoor_temp_diff,inf
zone_humidity_range,inf
max_zone_humidity,inf
min_zone_humidity,inf
avg_zone_humidity,inf
zone_temp_range,inf
max_zone_temp,inf
energy_rolling_std_3h,935.4121735205597
zone2_heat_index,498.8850958942292
zone4_heat_index,491.852381129545
zone3_heat_index,479.18668223643164
zone7_heat_index,467.19761267192285
zone8_heat_index,456.29097614221456
zone1_heat_index,433.2124085679674
zone9_heat_index,378.13988587053024
energy_rolling_std_6h,247.50806259986055
zone5_heat_index,183.33766940670384
energy_rolling_std_12h,141.31276176043264
energy_rolling_std_24h,64.1097466510083
zone6_heat_index,37.39566878364789
energy_rolling_mean_6h,35.0424942828685
month,34.32456700876575
month_cos,31.973731260487465
energy_rolling_mean_12h,25.70287873833949
wind_chill,24.321656707376906
energy_rolling_mean_24h,15.618034511578163
hour_cos,11.540398252294981
hour_sin,9.991381999035973
afternoon,9.72055491735756
is_weekend,9.020158948622056
is_night,8.867873658686628
day_of_week,8.802517752498686
month_sin,8.500466370424874
morning,7.953121372311115
quarter,7.129614105050996
evening,6.68359829386966
outdoor_humidity,3.643206902078993
day,3.616622119742292
hour,3.4415831218912407
is_working_hours,3.4042498818696263
day_of_week_cos,3.398529387329421
day_sin,3.2761922316641128
day_of_week_sin,3.026297981977462
wind_speed,2.227311870146452
energy_lag_3h,2.2140170358393148
atmospheric_pressure,1.783072529435374
energy_lag_6h,1.6012655123222448
day_cos,1.4162171135699393
dew_point,1.3992060924664966
energy_lag_12h,1.3746421638261475
energy_lag_24h,1.1865547097863407
lighting_energy,1.0713865045317763
visibility_index,1.0241720479982308
year,0.0
const,0.0
